,cx_ours,cx_ibm,fidelity_ours,fidelity_ibm,time_ours,time_ibm
0,24,52,0.48668750000000016,0.14000000000000007,6.884976903999999,7.087781357000001
1,26,40,0.2573750000000001,0.2255000000000002,7.057849044,7.087492106
2,24,38,0.4803125,0.37887500000000013,7.0290563939999995,6.9322773070000006
3,20,54,0.5146875000000001,0.16262500000000019,7.064314448,7.099258437
4,30,56,0.43862499999999993,0.1307500000000001,6.977579909,7.036687305
5,28,56,0.4755625000000001,0.1528750000000001,7.020353517999999,7.307284472
6,30,46,0.3318125000000001,0.1651875,7.043837067,7.083903604
7,34,46,0.3179999999999999,0.1878125000000001,6.936171219999999,7.115831362
8,30,24,0.5485000000000002,0.37906250000000014,7.010532338999998,6.9313179950000015
9,22,32,0.5583125000000001,0.45312499999999994,6.863787331999999,7.0209254350000005
10,38,64,0.36531250000000015,0.11825000000000004,7.122574682999999,7.295710146999999
11,32,54,0.23537500000000008,0.10612500000000007,6.906971371,7.048327499000001
12,36,74,0.4178125,0.12931250000000005,7.014361206,7.071155896
13,44,70,0.3189375000000001,0.10306249999999999,6.943962608,7.188786568000001
14,30,66,0.461125,0.14006249999999995,6.957800522,7.431681890999999
15,28,38,0.42800000000000005,0.3666875000000001,6.9710653670000005,7.110981657999999
16,44,60,0.3201875000000002,0.0863750000000001,7.128904119,7.089175137
17,30,52,0.19231249999999978,0.17056250000000014,7.020926492,7.054887711000001
18,28,50,0.5505625000000001,0.2593125000000003,6.835872830000001,7.317110300999999
19,34,82,0.28406250000000005,0.07856250000000002,7.062560279,7.34971501
